Subject,Trial Number,Type of Action,Object Type,GestureCondition,Word Order,Exclude,Spatial Cue,Randomizer,Randomizer Set,Clipped Movie File,Event,Word Order.Recode,Exclude.Recode,Spatial Cue.Recode,Used ASL,"""Embodied"" in some way",Comments,Spatial.Cue.Katy
3,15,Transitive,Person,Case,OSV,,1,0.43801656,5,Spatial_Clipped_057,Girl elbows old lady,OSV,,1,,E,,NA
3,16,Intransitive,None,Case,SV,,0,0.43801656,5,Spatial_Clipped_057,Boy skates,SV,,1,,E,,NA
3,17,Transitive,Person,Case,SOV,,1,0.103772773,5,Spatial_Clipped_058,Fireman kicks girl,SOV,,1,,,,NA
3,18,Transitive,Object,Case,SOSV,,1,0.103772773,5,Spatial_Clipped_058,Old lady kisses star,SOV,,1,,E,,NA
3,19,Transitive,Person,Case,SOV,,1,0.103772773,5,Spatial_Clipped_058,Old lady rubs fireman,SOV,,1,,E,,NA
3,20,Transitive,Person,Case,SOV,,1,0.103772773,5,Spatial_Clipped_058,Girl throws old lady,SOV,,1,,E,,NA
3,21,Intransitive,None,Case,SV,,0,0.519468262,5,Spatial_Clipped_059,Star jumps,SV,,1,,,,NA
3,22,Intransitive,None,Case,SV,,0,0.519468262,5,Spatial_Clipped_059,Fireman falls,SV,,1,,E,,NA
3,23,Intransitive,None,Case,SV,,0,0.519468262,5,Spatial_Clipped_059,Heart falls,SV,,1,,E,,NA
3,24,Transitive,Object,Case,SOV,,1,0.519468262,5,Spatial_Clipped_059,Boy pokes heart,SOV,,1,,E,,NA
3,25,Transitive,Object,Case,SOV,,1,0.46140093,5,Spatial_Clipped_060,Fireman lifts car,SOV,,1,,E,,NA
3,26,Transitive,Person,Case,OSV,,1,0.46140093,5,Spatial_Clipped_060,Old lady pokes fireman,"OS,V",,1,,E,,NA
3,27,Intransitive,None,Case,SV,,0,0.46140093,5,Spatial_Clipped_060,Girl tumbles,SV,,1,,E,,NA
3,28,Transitive,Person,Case,OSV,,1,0.46140093,5,Spatial_Clipped_060,Girl kisses boy,SOV,,1,,,,NA
3,5,Transitive,Object,Free,SOV,,1,0.468018154,5,Spatial_Clipped_049,Boy kicks ball,SOV,,0,,E,,NA
