"","Subject","Clipped.Movie.File","Trial.Number","GestureCondition","Object.Type","Sentence","Used.ASL","Final.Full.WordOrder","WordOrder","WordOrder.Classified","SpatialCue","Agent.Embod","Verb.Embod","Patient.Embod","WordOrder.Embod.Classified","ToInclude.Participant"
"121",5,"Spatial_Clipped_082",17,"Case","Person","Fireman kicks girl","","VSOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"122",5,"Spatial_Clipped_082",18,"Case","Object","Old lady kisses star","","VOSV","OSV","VerbLateral","Spatial.Present","1","0","0","Adjacent",1
"123",5,"Spatial_Clipped_082",19,"Case","Person","Old lady rubs fireman","","VOSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
"124",5,"Spatial_Clipped_082",20,"Case","Person","Girl throws old lady","","VSOV","SOV","VerbLateral","Spatial.Present","1","1","1","NonAdjacent",1
"125",5,"Spatial_Clipped_083",24,"Case","Object","Boy pokes heart","","VOSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
"126",5,"Spatial_Clipped_084",25,"Case","Object","Fireman lifts car","","VSOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
"127",5,"Spatial_Clipped_084",26,"Case","Person","Old lady pokes fireman","","VSOV","SOV","VerbLateral","Spatial.Present","1","1","1","NonAdjacent",1
"128",5,"Spatial_Clipped_084",28,"Case","Person","Girl kisses boy","","VOSV","OSV","VerbLateral","Spatial.Present","1","0","1","Adjacent",1
"129",6,"Spatial_Clipped_085",5,"Free","Object","Boy kicks ball","","SV","SV","Unclassified","Spatial.Absent","1","1","0","Unclassified",1
"130",6,"Spatial_Clipped_085",6,"Free","Object","Girl pushes car","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","0","Adjacent",1
"131",6,"Spatial_Clipped_085",8,"Free","Person","Fireman pushes boy","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"132",6,"Spatial_Clipped_086",11,"Free","Object","Girl rubs heart","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","0","Adjacent",1
"133",6,"Spatial_Clipped_086",12,"Free","Person","Boy lifts girl","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"134",6,"Spatial_Clipped_086",9,"Free","Object","Old lady elbows ball","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","0","Adjacent",1
"135",6,"Spatial_Clipped_087",13,"Free","Object","Fireman throws star","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","0","Adjacent",1
"136",6,"Spatial_Clipped_087",15,"Free","Person","Girl elbows old lady","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"137",6,"Spatial_Clipped_088",17,"Free","Person","Fireman kicks girl","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"138",6,"Spatial_Clipped_088",18,"Free","Object","Old lady kisses star","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","0","Adjacent",1
"139",6,"Spatial_Clipped_088",19,"Free","Person","Old lady rubs fireman","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"140",6,"Spatial_Clipped_088",20,"Free","Person","Girl throws old lady","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"141",6,"Spatial_Clipped_089",24,"Free","Object","Boy pokes heart","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","0","Adjacent",1
"142",6,"Spatial_Clipped_090",25,"Free","Object","Fireman lifts car","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","0","Adjacent",1
"143",6,"Spatial_Clipped_090",26,"Free","Person","Old lady pokes fireman","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"144",6,"Spatial_Clipped_090",28,"Free","Person","Girl kisses boy","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"145",6,"Spatial_Clipped_091",5,"Case","Object","Boy kicks ball","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"146",6,"Spatial_Clipped_091",6,"Case","Object","Girl pushes car","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"147",6,"Spatial_Clipped_091",8,"Case","Person","Fireman pushes boy","","SOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"148",6,"Spatial_Clipped_092",11,"Case","Object","Girl rubs heart","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"149",6,"Spatial_Clipped_092",12,"Case","Person","Boy lifts girl","","SOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"150",6,"Spatial_Clipped_092",9,"Case","Object","Old lady elbows ball","","SOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
