,Subject,GestureCondition,Trial.Number,Clipped.Movie.File,Event,Eun.Last3,Mig.Last3,Initial.Coder,Blind.Coder,Final.Decision,Final.Clean,Multiple.V,Discussed.With,Disagree.Reason
1715,62,Free,15,Spatial_Clipped_447 ,Girl elbows old lady ,OSV,SOV,Miguel,Caitlin,OSVO,SVO,0,Mitchell,SO Confusion
1726,62,Free,26,Spatial_Clipped_450 ,Old lady pokes fireman ,OSV,SOV,Miguel,Caitlin,SOSV,OSV,0,Mitchell,SO Confusion
1728,62,Free,28,Spatial_Clipped_450 ,Girl kisses boy ,OSV,SOV,Miguel,Caitlin,SOSV,OSV,0,Mitchell,SO Confusion
1756,63,Free,8,Spatial_Clipped_457,Fireman lifts car,SVO,SOV,Miguel,Caitlin,SVO,SVO,0,Mitchell,V position
1768,63,Free,20,Spatial_Clipped_460,Fireman throws star,SVO,SOV,Miguel,Caitlin,SOV,SOV,0,Mitchell,V position
1785,64,Case,13,Spatial_Clipped_477,Fireman throws star,SOV,OVO,Miguel,Cristina,SO,SO,0,Mitchell,V position
1787,64,Case,15,Spatial_Clipped_477,Girl elbows old lady,OSV,SOV,Miguel,Cristina,SOV,SOV,0,Mitchell,SO Confusion
1798,64,Case,26,Spatial_Clipped_480,Old lady pokes fireman,OSV,SOV,Miguel,Cristina,OSV,OSV,0,Mitchell,SO Confusion
1802,64,Free,6,Spatial_Clipped_469,Girl pushes car,OVO,SOV,Miguel,Cristina,SOVO,OVO,0,Mitchell,V position
1804,64,Free,8,Spatial_Clipped_469,Fireman pushes boy,,OSO,Miguel,Cristina,SOV,SOV,0,Mitchell,Not Coded
1808,64,Free,12,Spatial_Clipped_470,Boy lifts girl,,SOV,Miguel,Cristina,SOV,SOV,0,Mitchell,Not Coded
1809,64,Free,13,Spatial_Clipped_471,Fireman throws star,SOV,OVO,Miguel,Cristina,SOV,SOV,0,Mitchell,V position
1811,64,Free,15,Spatial_Clipped_471,Girl elbows old lady,OSV,SOV,Miguel,Cristina,SOV,SOV,0,Mitchell,SO Confusion
1814,64,Free,18,Spatial_Clipped_472,Old lady kisses star,SOV,SVO,Miguel,Cristina,SOV,SOV,0,Mitchell,V position
1822,64,Free,26,Spatial_Clipped_474,Old lady pokes fireman,SVO,SOV,Miguel,Cristina,SVOVO,OVO,0,Mitchell,V position
1825,65,Case,5,Spatial_Clipped_487,Boy kicks ball,SOV,OSV,Miguel,Cristina,SOSV,OSV,0,Melissa,SO Confusion
1849,65,Free,5,Spatial_Clipped_481,Boy kicks ball,VO,SV,Miguel,Cristina,V,V,0,Melissa,V position
1850,65,Free,6,Spatial_Clipped_481,Girl pushes car,VO,OV,Miguel,Cristina,V,V,0,Melissa,V position
1853,65,Free,9,Spatial_Clipped_482,Old lady elbows ball,SV,OSV,Miguel,Cristina,OSV,OSV,0,Melissa,Missing Letter
1876,66,Case,8,Spatial_Clipped_499,Fireman lifts car,SV,S(VO),Miguel,Caitlin,SV,SV,0,Mitchell,Missing Letter
1888,66,Case,20,Spatial_Clipped_502,Fireman throws star,OVO,SOV,Miguel,Caitlin,SOVSO,VSO,0,Mitchell,V position
1892,66,Case,24,Spatial_Clipped_503,Old lady elbows ball,OSV,SOV,Miguel,Caitlin,SOSOSV,OSV,0,Mitchell,SO Confusion
1914,66,Free,22,Spatial_Clipped_497,Girl rubs heart,SVO,SOV,Miguel,Caitlin,SOV,SOV,0,Mitchell,V position
1921,67,Case,5,Spatial_Clipped_511,Boy kicks ball,SOV,OVS,Miguel,Caitlin,OVSV,VSV,1,Mitchell,V position
1922,67,Case,6,Spatial_Clipped_511,Girl pushes car,SOV,OSV,Miguel,Caitlin,OSV,OSV,0,Mitchell,SO Confusion
1924,67,Case,8,Spatial_Clipped_511,Fireman pushes boy,SOV,OSV,Miguel,Caitlin,OSV,OSV,0,Mitchell,SO Confusion
1928,67,Case,12,Spatial_Clipped_512,Boy lifts girl,SOV,OSV,Miguel,Caitlin,OSV,OSV,0,Mitchell,SO Confusion
1931,67,Case,15,Spatial_Clipped_513,Girl elbows old lady,OSV,SOV,Miguel,Caitlin,SOV,SOV,0,Mitchell,SO Confusion
1933,67,Case,17,Spatial_Clipped_514,Fireman kicks girl,SOV,OSV,Miguel,Caitlin,OSV,OSV,0,Mitchell,SO Confusion
1934,67,Case,18,Spatial_Clipped_514,Old lady kisses star,SOV,OSV,Miguel,Caitlin,OSVSV,VSV,1,Mitchell,SO Confusion
1935,67,Case,19,Spatial_Clipped_514,Old lady rubs fireman,SOV,OSV,Miguel,Caitlin,VOSV,OSV,1,Mitchell,SO Confusion
1936,67,Case,20,Spatial_Clipped_514,Girl throws old lady,SOV,OSV,Miguel,Caitlin,VOS,VOS,0,Mitchell,SO Confusion
1941,67,Case,25,Spatial_Clipped_516,Fireman lifts car,OSV,(OS)V,Miguel,Caitlin,VOS,VOS,0,Mitchell,Parentheses
1942,67,Case,26,Spatial_Clipped_516,Old lady pokes fireman,OSV,(OS)V,Miguel,Caitlin,VOS,VOS,0,Mitchell,Parentheses
1944,67,Case,28,Spatial_Clipped_516,Girl kisses boy,SOV,(OS)V,Miguel,Caitlin,VOSV,OSV,1,Mitchell,Parentheses
1946,67,Free,6,Spatial_Clipped_505,Girl pushes car,OVO,OV,Miguel,Caitlin,OV,OV,0,Mitchell,Missing Letter
1948,67,Free,8,Spatial_Clipped_505,Fireman pushes boy,,V,Miguel,Caitlin,OV,OV,0,Mitchell,Not Coded
1951,67,Free,11,Spatial_Clipped_506,Girl rubs heart,SOV,OV,Miguel,Caitlin,OV,OV,0,Mitchell,Missing Letter
1952,67,Free,12,Spatial_Clipped_506,Boy lifts girl,,SV,Miguel,Caitlin,SV,SV,0,Mitchell,Not Coded
1953,67,Free,13,Spatial_Clipped_507,Fireman throws star,SOV,OV,Miguel,Caitlin,OV,OV,0,Mitchell,Missing Letter
1955,67,Free,15,Spatial_Clipped_507,Girl elbows old lady,OSV,VO,Miguel,Caitlin,VO,VO,0,Mitchell,Missing Letter
1957,67,Free,17,Spatial_Clipped_508,Fireman kicks girl,SVO,(SO)V,Miguel,Caitlin,SOV,SOV,0,Mitchell,Parentheses
1958,67,Free,18,Spatial_Clipped_508,Old lady kisses star,SOV,OSV,Miguel,Caitlin,OSV,OSV,0,Mitchell,SO Confusion
1959,67,Free,19,Spatial_Clipped_508,Old lady rubs fireman,SOV,SV,Miguel,Caitlin,SV,SV,0,Mitchell,Missing Letter
1960,67,Free,20,Spatial_Clipped_508,Girl throws old lady,SOV,OV,Miguel,Caitlin,OV,OV,0,Mitchell,Missing Letter
1965,67,Free,25,Spatial_Clipped_510,Fireman lifts car,SOV,OV,Miguel,Caitlin,OV,OV,0,Mitchell,Missing Letter
1966,67,Free,26,Spatial_Clipped_510,Old lady pokes fireman,SVO,SV,Miguel,Caitlin,SOV,SOV,0,Mitchell,Missing Letter
1968,67,Free,28,Spatial_Clipped_510,Girl kisses boy,SOV,OV,Miguel,Caitlin,OV,OV,0,Mitchell,Missing Letter
