,Subject,GestureCondition,Spatial.Cue,Spatial.Cue.Recode,Trial.Number,Clipped.Movie.File,Event,Initial.Coder,Blind.Coder,Final.Decision,Discussed.With
1393,53,Case,1,0,5,Spatial_Clipped_379,Girl kisses boy,Miguel,Mitchell,1,Caitlin
1395,53,Case,1,0,7,Spatial_Clipped_379,Old lady pokes fireman,Miguel,Mitchell,1,Caitlin
1396,53,Case,1,0,8,Spatial_Clipped_379,Fireman lifts car,Miguel,Mitchell,1,Caitlin
1397,53,Case,1,0,9,Spatial_Clipped_380,Boy pokes heart,Miguel,Mitchell,1,Caitlin
1401,53,Case,1,0,13,Spatial_Clipped_381,Girl throws old lady,Miguel,Mitchell,1,Caitlin
1402,53,Case,1,0,14,Spatial_Clipped_381,Old lady rubs fireman,Miguel,Mitchell,1,Caitlin
1403,53,Case,1,0,15,Spatial_Clipped_381,Old lady kisses star,Miguel,Mitchell,1,Caitlin
1404,53,Case,1,0,16,Spatial_Clipped_381,Fireman kicks girl,Miguel,Mitchell,1,Caitlin
1406,53,Case,1,0,18,Spatial_Clipped_382,Girl elbows old lady,Miguel,Mitchell,1,Caitlin
1408,53,Case,1,0,20,Spatial_Clipped_382,Fireman throws star,Miguel,Mitchell,1,Caitlin
1409,53,Case,1,0,21,Spatial_Clipped_383,Boy lifts girl,Miguel,Mitchell,1,Caitlin
1410,53,Case,1,0,22,Spatial_Clipped_383,Girl rubs heart,Miguel,Mitchell,1,Caitlin
1412,53,Case,1,0,24,Spatial_Clipped_383,Old lady elbows ball,Miguel,Mitchell,1,Caitlin
1413,53,Case,1,0,25,Spatial_Clipped_384,Fireman pushes boy,Miguel,Mitchell,1,Caitlin
1415,53,Case,1,0,27,Spatial_Clipped_384,Girl pushes car,Miguel,Mitchell,1,Caitlin
1416,53,Case,1,0,28,Spatial_Clipped_384,Boy kicks ball,Miguel,Mitchell,1,Caitlin
1537,58,Case,1,0,5,Spatial_Clipped_415,Boy kicks ball,Miguel,Cristina,1,Mitchell
1538,58,Case,1,0,6,Spatial_Clipped_415,Girl pushes car,Miguel,Cristina,1,Mitchell
1540,58,Case,1,0,8,Spatial_Clipped_415,Fireman pushes boy,Miguel,Cristina,1,Mitchell
1543,58,Case,1,0,11,Spatial_Clipped_416,Girl rubs heart,Miguel,Cristina,1,Mitchell
1544,58,Case,1,0,12,Spatial_Clipped_416,Boy lifts girl,Miguel,Cristina,1,Mitchell
1545,58,Case,1,0,13,Spatial_Clipped_417,Fireman throws star,Miguel,Cristina,1,Mitchell
1547,58,Case,1,0,15,Spatial_Clipped_417,Girl elbows old lady,Miguel,Cristina,1,Mitchell
1586,60,Case,0,1,6,Spatial_Clipped_427,Girl pushes car,Miguel,Caitlin,1,Mitchell
1591,60,Case,0,1,11,Spatial_Clipped_428,Girl rubs heart,Miguel,Caitlin,1,Mitchell
1592,60,Case,0,1,12,Spatial_Clipped_428,Boy lifts girl,Miguel,Caitlin,1,Mitchell
1609,60,Free,0,1,5,Spatial_Clipped_421,Boy kicks ball,Miguel,Caitlin,1,Mitchell
1610,60,Free,0,1,6,Spatial_Clipped_421,Girl pushes car,Miguel,Caitlin,1,Mitchell
1612,60,Free,0,1,8,Spatial_Clipped_421,Fireman pushes boy,Miguel,Caitlin,0,Mitchell
1613,60,Free,0,1,9,Spatial_Clipped_422,Old lady elbows ball,Miguel,Caitlin,1,Mitchell
1615,60,Free,0,1,11,Spatial_Clipped_422,Girl rubs heart,Miguel,Caitlin,1,Mitchell
1629,60,Free,0,1,25,Spatial_Clipped_426,Fireman lifts car,Miguel,Caitlin,1,Mitchell
1632,60,Free,1,0,28,Spatial_Clipped_426,Girl kisses boy,Miguel,Caitlin,1,Mitchell
1689,62,Case,1,0,13,Spatial_Clipped_453 ,Fireman throws star ,Miguel,Caitlin,0,Mitchell
1729,63,Case,1,0,5,Spatial_Clipped_463,Girl kisses boy,Miguel,Caitlin,1,Mitchell
1731,63,Case,1,0,7,Spatial_Clipped_463,Old lady pokes fireman,Miguel,Caitlin,1,Mitchell
1737,63,Case,1,0,13,Spatial_Clipped_465,Girl throws old lady,Miguel,Caitlin,1,Mitchell
1738,63,Case,1,0,14,Spatial_Clipped_465,Old lady rubs fireman,Miguel,Caitlin,1,Mitchell
1742,63,Case,1,0,18,Spatial_Clipped_466,Girl elbows old lady,Miguel,Caitlin,1,Mitchell
1745,63,Case,1,0,21,Spatial_Clipped_467,Boy lifts girl,Miguel,Caitlin,1,Mitchell
1753,63,Free,0,1,5,Spatial_Clipped_457,Girl kisses boy,Miguel,Caitlin,0,Mitchell
1756,63,Free,0,1,8,Spatial_Clipped_457,Fireman lifts car,Miguel,Caitlin,0,Mitchell
1757,63,Free,0,1,9,Spatial_Clipped_458,Boy pokes heart,Miguel,Caitlin,0,Mitchell
1763,63,Free,0,1,15,Spatial_Clipped_459,Old lady kisses star,Miguel,Caitlin,0,Mitchell
1764,63,Free,0,1,16,Spatial_Clipped_459,Fireman kicks girl,Miguel,Caitlin,0,Mitchell
1768,63,Free,0,1,20,Spatial_Clipped_460,Fireman throws star,Miguel,Caitlin,0,Mitchell
1770,63,Free,0,1,22,Spatial_Clipped_461,Girl rubs heart,Miguel,Caitlin,0,Mitchell
1773,63,Free,0,1,25,Spatial_Clipped_462,Fireman pushes boy,Miguel,Caitlin,1,Mitchell
1775,63,Free,0,1,27,Spatial_Clipped_462,Girl pushes car,Miguel,Caitlin,0,Mitchell
1776,63,Free,0,1,28,Spatial_Clipped_462,Boy kicks ball,Miguel,Caitlin,1,Mitchell
1777,64,Case,0,1,5,Spatial_Clipped_475,Boy kicks ball,Miguel,Cristina,1,Mitchell
1778,64,Case,0,1,6,Spatial_Clipped_475,Girl pushes car,Miguel,Cristina,1,Mitchell
1780,64,Case,0,1,8,Spatial_Clipped_475,Fireman pushes boy,Miguel,Cristina,1,Mitchell
1801,64,Free,0,1,5,Spatial_Clipped_469,Boy kicks ball,Miguel,Cristina,0,Mitchell
1802,64,Free,0,1,6,Spatial_Clipped_469,Girl pushes car,Miguel,Cristina,1,Mitchell
1804,64,Free,0,1,8,Spatial_Clipped_469,Fireman pushes boy,Miguel,Cristina,0,Mitchell
1805,64,Free,0,1,9,Spatial_Clipped_470,Old lady elbows ball,Miguel,Cristina,0,Mitchell
1807,64,Free,0,1,11,Spatial_Clipped_470,Girl rubs heart,Miguel,Cristina,0,Mitchell
1808,64,Free,0,1,12,Spatial_Clipped_470,Boy lifts girl,Miguel,Cristina,0,Mitchell
1809,64,Free,0,1,13,Spatial_Clipped_471,Fireman throws star,Miguel,Cristina,0,Mitchell
1811,64,Free,0,1,15,Spatial_Clipped_471,Girl elbows old lady,Miguel,Cristina,0,Mitchell
1813,64,Free,0,1,17,Spatial_Clipped_472,Fireman kicks girl,Miguel,Cristina,0,Mitchell
1814,64,Free,0,1,18,Spatial_Clipped_472,Old lady kisses star,Miguel,Cristina,1,Mitchell
1815,64,Free,0,1,19,Spatial_Clipped_472,Old lady rubs fireman,Miguel,Cristina,0,Mitchell
1816,64,Free,0,1,20,Spatial_Clipped_472,Girl throws old lady,Miguel,Cristina,0,Mitchell
1820,64,Free,0,1,24,Spatial_Clipped_473,Boy pokes heart,Miguel,Cristina,0,Mitchell
1822,64,Free,0,1,26,Spatial_Clipped_474,Old lady pokes fireman,Miguel,Cristina,1,Mitchell
1824,64,Free,0,1,28,Spatial_Clipped_474,Girl kisses boy,Miguel,Cristina,0,Mitchell
1825,65,Case,0,1,5,Spatial_Clipped_487,Boy kicks ball,Miguel,Cristina,1,Caitlin
1828,65,Case,1,0,8,Spatial_Clipped_487,Fireman pushes boy,Miguel,Cristina,1,Caitlin
1832,65,Case,1,0,12,Spatial_Clipped_488,Boy lifts girl,Miguel,Cristina,1,Caitlin
1833,65,Case,1,0,13,Spatial_Clipped_489,Fireman throws star,Miguel,Cristina,1,Caitlin
1835,65,Case,1,0,15,Spatial_Clipped_489,Girl elbows old lady,Miguel,Cristina,1,Caitlin
1837,65,Case,1,0,17,Spatial_Clipped_490,Fireman kicks girl,Miguel,Cristina,1,Caitlin
1839,65,Case,1,0,19,Spatial_Clipped_490,Old lady rubs fireman,Miguel,Cristina,1,Caitlin
1840,65,Case,1,0,20,Spatial_Clipped_490,Girl throws old lady,Miguel,Cristina,1,Caitlin
1844,65,Case,1,0,24,Spatial_Clipped_491,Boy pokes heart,Miguel,Cristina,1,Caitlin
1846,65,Case,1,0,26,Spatial_Clipped_492,Old lady pokes fireman,Miguel,Cristina,1,Caitlin
1848,65,Case,1,0,28,Spatial_Clipped_492,Girl kisses boy,Miguel,Cristina,1,Caitlin
1868,65,Free,0,1,24,Spatial_Clipped_485,Boy pokes heart,Miguel,Cristina,1,Caitlin
1873,66,Case,0,1,5,Spatial_Clipped_499,Girl kisses boy,Miguel,Caitlin,1,Mitchell
1875,66,Case,0,1,7,Spatial_Clipped_499,Old lady pokes fireman,Miguel,Caitlin,1,Mitchell
1876,66,Case,0,1,8,Spatial_Clipped_499,Fireman lifts car,Miguel,Caitlin,1,Mitchell
1877,66,Case,0,1,9,Spatial_Clipped_500,Boy pokes heart,Miguel,Caitlin,1,Mitchell
1881,66,Case,0,1,13,Spatial_Clipped_501,Girl throws old lady,Miguel,Caitlin,1,Mitchell
1882,66,Case,0,1,14,Spatial_Clipped_501,Old lady rubs fireman,Miguel,Caitlin,1,Mitchell
1883,66,Case,0,1,15,Spatial_Clipped_501,Old lady kisses star,Miguel,Caitlin,1,Mitchell
1884,66,Case,0,1,16,Spatial_Clipped_501,Fireman kicks girl,Miguel,Caitlin,1,Mitchell
1886,66,Case,0,1,18,Spatial_Clipped_502,Girl elbows old lady,Miguel,Caitlin,1,Mitchell
1888,66,Case,0,1,20,Spatial_Clipped_502,Fireman throws star,Miguel,Caitlin,1,Mitchell
1889,66,Case,0,1,21,Spatial_Clipped_503,Boy lifts girl,Miguel,Caitlin,1,Mitchell
1890,66,Case,0,1,22,Spatial_Clipped_503,Girl rubs heart,Miguel,Caitlin,1,Mitchell
1892,66,Case,0,1,24,Spatial_Clipped_503,Old lady elbows ball,Miguel,Caitlin,1,Mitchell
1893,66,Case,0,1,25,Spatial_Clipped_504,Fireman pushes boy,Miguel,Caitlin,1,Mitchell
1895,66,Case,0,1,27,Spatial_Clipped_504,Girl pushes car,Miguel,Caitlin,1,Mitchell
1896,66,Case,0,1,28,Spatial_Clipped_504,Boy kicks ball,Miguel,Caitlin,1,Mitchell
1897,66,Free,0,1,5,Spatial_Clipped_493,Girl kisses boy,Miguel,Caitlin,0,Mitchell
1900,66,Free,0,1,8,Spatial_Clipped_493,Fireman lifts car,Miguel,Caitlin,0,Mitchell
1901,66,Free,0,1,9,Spatial_Clipped_494,Boy pokes heart,Miguel,Caitlin,0,Mitchell
1912,66,Free,0,1,20,Spatial_Clipped_496,Fireman throws star,Miguel,Caitlin,0,Mitchell
1913,66,Free,0,1,21,Spatial_Clipped_497,Boy lifts girl,Miguel,Caitlin,0,Mitchell
1916,66,Free,0,1,24,Spatial_Clipped_497,Old lady elbows ball,Miguel,Caitlin,0,Mitchell
1919,66,Free,0,1,27,Spatial_Clipped_498,Girl pushes car,Miguel,Caitlin,0,Mitchell
1920,66,Free,0,1,28,Spatial_Clipped_498,Boy kicks ball,Miguel,Caitlin,0,Mitchell
1921,67,Case,0,1,5,Spatial_Clipped_511,Boy kicks ball,Miguel,Caitlin,1,Mitchell
1922,67,Case,0,1,6,Spatial_Clipped_511,Girl pushes car,Miguel,Caitlin,1,Mitchell
1928,67,Case,1,0,12,Spatial_Clipped_512,Boy lifts girl,Miguel,Caitlin,1,Mitchell
1933,67,Case,1,0,17,Spatial_Clipped_514,Fireman kicks girl,Miguel,Caitlin,1,Mitchell
1935,67,Case,1,0,19,Spatial_Clipped_514,Old lady rubs fireman,Miguel,Caitlin,1,Mitchell
1936,67,Case,1,0,20,Spatial_Clipped_514,Girl throws old lady,Miguel,Caitlin,1,Mitchell
1942,67,Case,1,0,26,Spatial_Clipped_516,Old lady pokes fireman,Miguel,Caitlin,1,Mitchell
1944,67,Case,1,0,28,Spatial_Clipped_516,Girl kisses boy,Miguel,Caitlin,1,Mitchell
1945,67,Free,0,1,5,Spatial_Clipped_505,Boy kicks ball,Miguel,Caitlin,1,Mitchell
1946,67,Free,0,1,6,Spatial_Clipped_505,Girl pushes car,Miguel,Caitlin,1,Mitchell
1949,67,Free,0,1,9,Spatial_Clipped_506,Old lady elbows ball,Miguel,Caitlin,1,Mitchell
1951,67,Free,0,1,11,Spatial_Clipped_506,Girl rubs heart,Miguel,Caitlin,0,Mitchell
1953,67,Free,0,1,13,Spatial_Clipped_507,Fireman throws star,Miguel,Caitlin,0,Mitchell
1957,67,Free,0,1,17,Spatial_Clipped_508,Fireman kicks girl,Miguel,Caitlin,1,Mitchell
1958,67,Free,0,1,18,Spatial_Clipped_508,Old lady kisses star,Miguel,Caitlin,0,Mitchell
1964,67,Free,0,1,24,Spatial_Clipped_509,Boy pokes heart,Miguel,Caitlin,1,Mitchell
1965,67,Free,1,0,25,Spatial_Clipped_510,Fireman lifts car,Miguel,Caitlin,1,Mitchell
