"","Subject","Trial.Number","GestureCondition","Type.of.Action","Object.Type","Word.Order","Exclude","Spatial.Cue","Randomizer","Randomizer.Set","Clipped.Movie.File","Event","Word.Order.Recode","Exclude.Recode","Spatial.Cue.Recode","Used.ASL","X.Embodied..in.some.way","Comments","Spatial.Cue.Katy","SpatialCue","Final.Full.WordOrder","SpatialCue.FinalDecision"
"239",31,24,"Case","Transitive","Object","SOV","",1,0.148653332,17,"Spatial_Clipped_215","Boy pokes heart","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"241",31,25,"Case","Transitive","Object","SOV","",1,0.569433918,17,"Spatial_Clipped_216","Fireman lifts car","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"243",31,26,"Case","Transitive","Person","SOV","",1,0.569433918,17,"Spatial_Clipped_216","Old lady pokes fireman","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"245",31,28,"Case","Transitive","Person","SOV","",1,0.569433918,17,"Spatial_Clipped_216","Girl kisses boy","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"247",31,5,"Case","Transitive","Object","SOV","",1,0.3504139,17,"Spatial_Clipped_211","Boy kicks ball","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"249",31,6,"Case","Transitive","Object","SOV","",1,0.3504139,17,"Spatial_Clipped_211","Girl pushes car","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"251",31,8,"Case","Transitive","Person","SOV","",1,0.3504139,17,"Spatial_Clipped_211","Fireman pushes boy","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"253",31,9,"Case","Transitive","Object","SOV","",1,0.46324278,17,"Spatial_Clipped_212","Old lady elbows ball","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"255",32,13,"Case","Transitive","Person","OSV","",1,0.936723458,18,"Spatial_Clipped_225","Girl throws old lady","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"257",32,14,"Case","Transitive","Person","OSV","",1,0.936723458,18,"Spatial_Clipped_225","Old lady rubs fireman","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"258",32,14,"Free","Transitive","Person","OSV","",1,0.873940997,18,"Spatial_Clipped_219","Old lady rubs fireman","OSV","",0,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"259",32,15,"Case","Transitive","Object","OSV","",1,0.936723458,18,"Spatial_Clipped_225","Old lady kisses star","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"260",32,15,"Free","Transitive","Object","OSV","",1,0.873940997,18,"Spatial_Clipped_219","Old lady kisses star","OSV","",0,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"261",32,16,"Case","Transitive","Person","OSV","",1,0.936723458,18,"Spatial_Clipped_225","Fireman kicks girl","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
